,dis_id,date,state,type
1743,5f7b2c0831a8c6681cfd7421,2008-02-08,TX,Fire
1744,5f7b2c0831a8c6681cfd7423,2008-02-13,TX,Fire
1745,5f7b2c0831a8c6681cfd7426,2008-02-23,TX,Fire
1746,5f7b2c0831a8c6681cfd742a,2008-02-25,TX,Fire
1747,5f7b2c0831a8c6681cfd742e,2008-02-25,OK,Fire
1748,5f7b2c0831a8c6681cfd743d,2008-02-25,TX,Fire
1749,5f7b2c0831a8c6681cfd7435,2008-02-25,TX,Fire
1750,5f7b2c0831a8c6681cfd743f,2008-03-03,TX,Fire
1751,5f7b2c0831a8c6681cfd7444,2008-03-11,TX,Fire
1752,5f7b2c0831a8c6681cfd7447,2008-03-14,TX,Fire
1753,5f7b2c0831a8c6681cfd744d,2008-03-14,TX,Fire
1754,5f7b2c1531a8c6681cfe4110,2008-03-14,TX,Fire
1755,5f7b2c1531a8c6681cfe411a,2008-03-14,TX,Fire
1756,5f7b2c1531a8c6681cfe411c,2008-03-14,TX,Fire
1757,5f7b2c1531a8c6681cfe411e,2008-03-14,TX,Fire
1758,5f7b2c1531a8c6681cfe4124,2008-03-14,TX,Fire
1759,5f7b2c1531a8c6681cfe412b,2008-03-14,TX,Fire
1760,5f7b2c1531a8c6681cfe412c,2008-03-14,TX,Fire
1761,5f7b2c1531a8c6681cfe4138,2008-03-14,TX,Fire
1762,5f7b2c1531a8c6681cfe413c,2008-03-14,TX,Fire
1763,5f7b2c1531a8c6681cfe413e,2008-03-14,TX,Fire
1764,5f7b2c1531a8c6681cfe4141,2008-03-14,TX,Fire
1765,5f7b2c1531a8c6681cfe414b,2008-03-14,TX,Fire
1766,5f7b2c1531a8c6681cfe414e,2008-03-14,TX,Fire
1767,5f7b2c1531a8c6681cfe4152,2008-03-14,TX,Fire
1768,5f7b2c1531a8c6681cfe4154,2008-03-14,TX,Fire
1769,5f7b2c1531a8c6681cfe4158,2008-03-14,TX,Fire
1770,5f7b2c1531a8c6681cfe415b,2008-03-14,TX,Fire
1771,5f7b2c1531a8c6681cfe415d,2008-03-14,TX,Fire
1772,5f7b2c1531a8c6681cfe415f,2008-03-14,TX,Fire
1773,5f7b2c1531a8c6681cfe4171,2008-03-14,TX,Fire
1774,5f7b2c1531a8c6681cfe4176,2008-03-14,TX,Fire
1775,5f7b2c1531a8c6681cfe4181,2008-03-14,TX,Fire
1776,5f7b2c1531a8c6681cfe4184,2008-03-14,TX,Fire
1777,5f7b2c1531a8c6681cfe4187,2008-03-14,TX,Fire
1778,5f7b2c1531a8c6681cfe418a,2008-03-14,TX,Fire
1779,5f7b2c1531a8c6681cfe418d,2008-03-14,TX,Fire
1780,5f7b2c1531a8c6681cfe4190,2008-03-14,TX,Fire
1781,5f7b2c1531a8c6681cfe4193,2008-03-14,TX,Fire
1782,5f7b2c1531a8c6681cfe4197,2008-03-14,TX,Fire
1783,5f7b2c1531a8c6681cfe419b,2008-03-14,TX,Fire
1784,5f7b2c1531a8c6681cfe419f,2008-03-14,TX,Fire
1785,5f7b2c1531a8c6681cfe41a3,2008-03-14,TX,Fire
1786,5f7b2c1531a8c6681cfe41b6,2008-03-14,TX,Fire
1787,5f7b2c1531a8c6681cfe41b9,2008-03-14,TX,Fire
1788,5f7b2c1531a8c6681cfe41bc,2008-03-14,TX,Fire
1789,5f7b2c1531a8c6681cfe41be,2008-03-14,TX,Fire
1790,5f7b2c1531a8c6681cfe41c2,2008-03-14,TX,Fire
1791,5f7b2c1531a8c6681cfe41d7,2008-03-14,TX,Fire
1792,5f7b2c1531a8c6681cfe41db,2008-03-14,TX,Fire
1793,5f7b2c1531a8c6681cfe41dc,2008-03-14,TX,Fire
1794,5f7b2c1531a8c6681cfe41ea,2008-03-14,TX,Fire
1795,5f7b2c1531a8c6681cfe41ec,2008-03-14,TX,Fire
1796,5f7b2c1531a8c6681cfe41ff,2008-03-14,TX,Fire
1797,5f7b2c1531a8c6681cfe4201,2008-03-14,TX,Fire
1798,5f7b2c1531a8c6681cfe4205,2008-03-14,TX,Fire
1799,5f7b2c1531a8c6681cfe4206,2008-03-14,TX,Fire
1800,5f7b2c1531a8c6681cfe4210,2008-03-14,TX,Fire
1801,5f7b2c1531a8c6681cfe4214,2008-03-14,TX,Fire
1802,5f7b2c1531a8c6681cfe421c,2008-03-14,TX,Fire
